university_name,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,year
Chalmers University of Technology,26.2,61.5,34.8,44.3,77.3,-,"8,605",11.6,15,2014
Colorado State University,28.6,31.4,29.8,57.4,38.5,-,"26,769",19,5,2014
Creighton University,41.3,21.7,10.9,68.2,-,-,"7,086",8.3,2,2014
KoÌ_ University,16.6,57.8,17.1,72.1,41.1,-,"4,488",14.6,8,2014
Macquarie University,20.9,91.1,23.8,54.2,37.9,-,"27,930",20,44,2014
Plymouth University,16.4,48.3,16,75.4,28.9,-,"24,121",25.9,13,2014
Polytechnic University of Milan,28.6,36.4,25,56.3,75.9,-,"30,025",22.2,12,2014
Queensland University of Technology,26.6,67.9,32.3,44,65.3,-,"33,391",35.8,17,2014
Tokyo Medical and Dental University (TMDU),43.3,22,21.1,52,46.6,-,"2,872",3.3,7,2014
University College Cork,27.2,67.1,20.1,56.8,50,-,"15,805",22.3,15,2014
University of Alaska Fairbanks,26.1,38.2,25.5,57.4,52.5,-,"3,837",8.2,7,2014
University of Bath,26.7,77.4,25.2,50.1,35,-,"12,830",18.8,30,2014
University of Bologna,30.7,40.7,18.6,64.2,33.5,-,"85,532",22.9,7,2014
University of Fribourg,25.9,84.5,16.3,57.6,30.6,-,"10,416",46.9,19,2014
University of Georgia,39.6,35,28.9,46.1,30.7,-,"33,119",19.9,7,2014
University of Kansas,33.9,33.6,19.8,59.9,35.9,-,,,0,2014
University of Milan,25.7,35.6,19.8,65.5,39,-,"58,618",24.3,5,2014
University of Montana,29.5,22.6,15,74.6,34.5,-,"12,470",15.2,3,2014
University of South Florida,24.1,38.5,31.1,52.4,95,-,"31,424",21.5,10,2014
University of Southern Denmark,18.5,66.4,18.3,64.7,70.9,-,"22,210",12.7,16,2014
University of Wollongong,22.8,83.9,25.2,49.1,59.6,-,"16,489",25.4,24,2014
Victoria University of Wellington,19.7,82.9,27.7,52.9,46.4,-,"17,142",21.1,21,2014
Virginia Polytechnic Institute and State University,33.7,27.5,40.4,38.7,42,-,"30,850",18.6,10,2014
York University,24.2,55.3,28.1,55.5,36.2,-,"48,007",39.4,9,2014
Aalborg University,20,70.8,24.5,46,39.8,-,"17,422",15.9,15,2014
Aalto University,26.9,64.3,17,57.4,39.4,-,"16,099",24.2,17,2014
Aberystwyth University,19.3,65.5,17.6,57.5,32.8,-,"9,252",19.2,18,2014
Autonomous University of Madrid,24.5,46,19.4,55,33.4,-,"28,296",13,15,2014
Bangor University,20.6,68.8,23.2,50.1,30.7,-,"9,567",19.5,22,2014
Bayreuth University,22.8,54.1,12.7,66,-,-,"12,520",35.5,8,2014
Bielefeld University,22.8,46.9,17.9,59.9,35.8,-,"21,428",67.8,8,2014
Claude Bernard University Lyon 1,21.2,50.6,16.3,61.4,33.3,-,"35,308",16.1,11,2014
Deakin University,16.6,73.4,18.7,54.2,31.1,-,"32,713",30.4,17,2014
Drexel University,33.9,38.2,15,56.2,32.5,-,"20,713",10.8,18,2014
Heriot-Watt University,24.7,87.8,20.8,39,44.3,-,"8,773",17.8,43,2014
Hokkaido University,41,24.6,28.3,32.3,44.2,-,"18,162",8.2,9,2014
Hong Kong Baptist University,20.7,59.5,13.9,65.3,30.2,-,"10,441",11,25,2014
Kansas State University,26.1,34.1,15.5,57.4,38.7,-,"21,379",15.1,10,2014
Keele University,19.4,71.2,19.4,58.7,30.4,-,"8,397",15.7,20,2014
King Mongkut‰Ûªs University of Technology Thonburi,13,24.4,10.5,75.4,62.2,-,"17,791",23.7,1,2014
Kyushu University,38.6,24.5,28,30.9,75,-,"18,925",6.7,8,2014
Lehigh University,28.9,35.7,16,53.7,39.7,-,"6,300",11.3,15,2014
LinkÌ_ping University,20.6,50.2,26,55.6,-,-,"17,866",7.7,10,2014
Murdoch University,16.7,86.4,16,51.7,49.9,-,"16,606",32.8,43,2014
National Cheng Kung University,31.5,24.9,40.7,27.6,100,-,"21,234",14.4,11,2014
National Sun Yat-Sen University,27.3,22.1,32.6,43.2,45,-,"9,336",19.6,4,2014
"National University of Ireland, Galway",24.5,69.5,21,50.6,45.7,-,"14,067",26.8,14,2014
Oregon State University,25.7,35.4,19.7,63.5,31.6,-,"22,578",16.8,9,2014
Sapienza University of Rome,27,36.3,25.2,48.2,36.3,-,"120,986",32.3,7,2014
Shanghai Jiao Tong University,35.7,22.8,31.8,32.3,79.2,-,"38,191",12.8,6,2014
State University of Campinas,41.3,19,37.5,27.9,49,-,"27,095",15.3,3,2014
State University of New York Albany,23.8,33.9,26.2,58.7,-,-,"15,387",18.5,8,2014
Stellenbosch University,24.7,46.7,29.3,47.1,95.9,-,"21,849",23,8,2014
UmeÌ´ University,19.8,50.1,29.6,53.1,30.5,-,"16,667",11.9,7,2014
University of Canterbury,18.2,88,24.4,51.6,52.3,-,"12,187",16.5,20,2014
University of Connecticut,36.1,38.7,22.8,49.9,31.7,-,"25,742",13,11,2014
University of Crete,18.2,47.1,16.6,65.6,35,-,"14,650",26.9,5,2014
University of Eastern Finland,23.8,39.7,18.6,56.1,33.4,-,"10,798",17.3,6,2014
University of Hertfordshire,14.1,81.1,10.2,66.9,30.3,-,"19,665",19.4,27,2014
University of Houston,37,31.5,23.8,42.4,36.9,-,"40,325",43.7,9,2014
University of LiÌ¬ge,25.1,67.1,16.4,47,60.7,-,"20,951",25.9,23,2014
University of Manitoba,30.8,40,29.3,45.1,52.8,-,"28,576",27.8,11,2014
University of Missouri,32.6,28.9,31.4,44.9,31.1,-,"29,885",14.1,5,2014
University of Padua,19.3,38.9,17.3,70.4,32,-,"62,577",18.3,4,2014
University of Pisa,20.3,35,18.1,64.2,41.7,-,"47,247",18,4,2014
University of Salento,31,37.4,20.4,48.2,51.2,-,"19,959",58.4,1,2014
University of South Australia,22.5,80,21.8,40.2,83.2,-,"18,971",26.2,32,2014
University of Tampere,23.1,33.9,22.2,52.3,45.6,-,"10,045",9.5,4,2014
University of Technology Sydney,22.1,87.3,22,47.8,36.4,-,"24,519",44.1,31,2014
University of Tsukuba,36.6,32.6,20.9,48.9,35.3,-,"15,930",12.6,16,2014
University of Vermont,26.6,21,19.3,57.4,-,-,,,0,2014
University of Waikato,18.4,82.4,18.1,56.9,46.3,-,"10,159",17,25,2014
University of Warsaw,18.7,42.8,14.3,71.1,28.3,-,"49,292",14.1,7,2014
Washington State University,28.4,35.2,26.5,46.1,55.6,-,"24,550",18.3,7,2014
Wayne State University,35.3,28.2,15.7,59.9,-,-,"23,065",10.7,7,2014
Wuhan University of Technology,14.8,18.9,7.8,78.1,58.7,-,"50,260",14.9,2,2014
Zhejiang University,35.9,21,32.1,36.5,94.5,-,"47,508",15.9,5,2014
Charles Darwin University,17.9,58.9,18.6,49.1,35.5,-,"5,570",25.4,15,2014
Charles University in Prague,29.1,53.2,19.9,43.6,29,-,"51,438",13,15,2014
"China Medical University, Taiwan",18.9,20.5,28.1,46.2,60.8,-,"7,983",15.4,8,2014
George Mason University,24.5,37.3,18,54.9,28.8,-,"26,622",17,7,2014
Hanyang University,30.4,42.9,27.7,26.9,55.3,-,"16,729",10.4,19,2014
Indian Institute of Technology Delhi,33.8,15.3,23,38.5,-,-,"8,371",17.3,1,2014
Indian Institute of Technology Kanpur,31.3,17.3,25.2,41.8,42.4,-,"6,167",12.2,0,2014
Indian Institute of Technology Kharagpur,39.3,14.7,30,35.3,-,-,"9,928",17.5,0,2014
Indian Institute of Technology Roorkee,25.1,15.6,12.3,53.6,64.8,-,"8,061",18.7,1,2014
Johannes Kepler University of Linz,20,57.7,15.3,51,41.9,-,"19,646",29.1,10,2014
King Abdulaziz University,18.2,74.3,9.4,58.2,39.7,-,"35,889",8.4,21,2014
King Saud University,21.4,72.2,21.1,32.3,93.9,-,"40,666",13.4,7,2014
Leibniz University of Hanover,30.9,47.2,15.4,39.5,42.7,-,"22,401",62.7,12,2014
Liverpool John Moores University,14.9,58.1,12.5,57.5,28.8,-,"18,513",19.8,13,2014
Loughborough University,30.5,65.4,27.9,22.8,42.6,-,"13,951",15.9,22,2014
National Central University,22.6,34.5,22.1,46.2,83.9,-,"10,915",9.8,6,2014
National Taiwan University of Science and Technology (Taiwan Tech),25.5,21.6,40.4,33,47.9,-,"7,446",17.4,11,2014
"National University of Ireland, Maynooth",24.9,70.3,20.9,34.6,33,-,"7,653",28,11,2014
Old Dominion University,21.3,30.2,14.3,58.7,-,-,,,0,2014
Polytechnic University of Valencia,20.9,28.2,13.1,59,39.8,-,"33,172",13.6,7,2014
Ruhr University Bochum,27.8,50.9,20.9,42,45.2,-,"38,675",46.3,13,2014
San Diego State University,15,22.2,23.1,61.1,29.2,-,"27,420",31.7,5,2014
Sun Yat-sen University,29.4,25.5,18.2,48.1,43.4,-,"51,351",16.6,8,2014
Swinburne University of Technology,17,68.5,19.4,49.1,46.7,-,"20,314",36.5,33,2014
Temple University,35.4,22.4,15,42.4,-,-,"33,268",13.3,5,2014
UiT The Arctic University of Norway,20.3,59.6,15.8,54.2,39.2,-,"10,398",12.2,10,2014
University of Bari Aldo Moro,26.8,34.7,21.1,48.2,34.9,-,"51,560",65.1,2,2014
University of Duisburg-Essen,20.4,47.7,12,59.9,41.7,-,"36,051",46.6,11,2014
University of Ferrara,15.4,38.6,14.4,64.2,38.5,-,"18,882",30.2,7,2014
University of Florence,17.7,37.3,13.2,57.7,34.2,-,"54,290",17.2,7,2014
University of Graz,24.6,59.9,14.4,51,29.5,-,"20,584",26.8,12,2014
University of Guelph,20.6,39.1,22.6,45.1,47.8,-,"21,643",28.3,4,2014
University of JyvÌ_skylÌ_,27.5,42.8,16.3,47.2,-,-,"9,703",15.2,5,2014
"University of Maryland, Baltimore County",16.9,34.4,15,65.9,32.6,-,"13,908",18.1,7,2014
University of Minho,17.2,46.9,18.6,50.3,37.4,-,"19,090",18.8,9,2014
University of Navarra,27.3,45.7,23.4,33.7,86.2,-,"11,259",10.6,16,2014
University of Oklahoma,34.1,26.7,14.7,46.1,35.2,-,,,0,2014
University of Porto,20.5,43.9,17.8,47.6,36.7,-,"32,720",18.8,9,2014
University of Portsmouth,13.7,73.3,11.8,56.3,29.1,-,"20,161",19.1,23,2014
University of Rovira i Virgili,19,34.3,13.6,64.2,30.6,-,"12,533",12.8,9,2014
University of Stirling,19,62.8,22.6,50.1,30.3,-,"7,828",15.9,22,2014
University of Surrey,31.1,83.5,22.7,25.7,40.3,-,"12,063",16.6,38,2014
University of Tartu,20.3,43.7,21.2,46.2,30.3,-,"10,269",13,3,2014
University of Tasmania,18.7,69.9,16.7,49.1,36.9,-,"18,340",23.8,21,2014
University of Valencia,16.6,39.3,12.4,59,31.7,-,"58,413",15.4,9,2014
University of Vigo,19.7,25.9,10.7,62.9,38.2,-,"22,793",19,3,2014
University of Wyoming,18.9,29.7,28.6,46.1,29.6,-,,,0,2014
California Institute of Technology,92.2,67,98.1,99.7,89.1,94.3,"2,243",6.9,27,2015
Harvard University,92.9,67.6,98.6,98.9,44,93.3,"20,152",8.9,25,2015
University of Oxford,88.6,90.7,97.7,95.5,72.9,93.2,"19,919",11.6,34,2015
Stanford University,91.5,69,96.7,99.1,63.1,92.9,"15,596",7.8,22,2015
University of Cambridge,89.7,87.8,95.6,95.2,51.1,92,"18,812",11.8,34,2015
Massachusetts Institute of Technology,89.1,84.3,88.2,100,95.7,91.9,"11,074",9,33,2015
Princeton University,86.6,61.2,94.7,99.6,82.7,90.9,"7,929",8.4,27,2015
"University of California, Berkeley",84.2,58.5,96.7,99.1,44.8,89.5,"36,186",16.4,15,2015
Imperial College London,84.6,92.7,88.3,89.4,72.7,87.5,"15,060",11.7,51,2015
Yale University,88.5,59.8,90.8,94,42,87.5,"11,751",4.4,20,2015
University of Chicago,83.9,65.2,89.9,97.3,36.8,87.1,"14,221",6.9,21,2015
"University of California, Los Angeles",82.4,49.2,90.5,95.3,-,85.5,"38,206",10.3,15,2015
ETH Zurich ‰ÛÒ Swiss Federal Institute of Technology Zurich,78.2,96.6,90.2,83.5,73.2,84.6,"18,178",14.7,37,2015
Columbia University,83.9,68.3,79.4,95.3,-,84.4,"25,055",5.9,28,2015
Johns Hopkins University,75.6,59.7,84.2,93.6,100,83,"15,128",3.6,23,2015
University of Pennsylvania,79,43.8,82,94.4,43,81,"20,376",6.5,20,2015
University of Michigan,77,49.8,86.5,88.9,55.7,80.9,"41,786",9,16,2015
Duke University,73.5,50.5,75.2,96.6,100,79.9,"15,172",4.8,17,2015
Cornell University,71.6,59,83.8,91.5,33.7,79.4,"21,424",10.2,19,2015
University of Toronto,74.4,71.2,85.1,83,46.1,79.3,"66,198",19.5,15,2015
Northwestern University,72.7,36.7,78.9,96.9,77,79.2,"18,334",13.8,15,2015
University College London,70.4,90.6,80.4,85.1,46.2,78.7,"26,607",10.7,46,2015
University of Tokyo,81.4,32.4,85.1,74.7,51.2,76.1,"26,199",5.7,10,2015
Carnegie Mellon University,61.6,59.3,74.9,92,53,74.3,"11,885",13.1,35,2015
National University of Singapore,72,94.9,78.1,66,53.4,73.3,"31,592",15.5,34,2015
University of Washington,64.5,47.9,68.9,95,44.7,73.2,"44,020",11.8,13,2015
Georgia Institute of Technology,62.5,68.9,71.2,85.8,72.3,72.8,"19,967",20.1,26,2015
University of Texas at Austin,64.3,33.1,72,91.5,58.1,72.3,"49,427",17.4,9,2015
LMU Munich,65.1,56.4,69.1,83,100,71.9,"35,691",15.5,13,2015
University of Illinois at Urbana-Champaign,67.7,43.9,79,77.8,51.7,71.9,"42,727",18.7,20,2015
University of Wisconsin-Madison,67.7,33.6,71.3,87.7,53.3,71.9,"39,655",10.8,11,2015
University of British Columbia,60.5,84.8,69,85.3,40.1,71.8,"50,152",17.6,25,2015
University of Melbourne,60.4,81.3,70.9,80.6,61.2,71.2,"40,128",23.7,35,2015
London School of Economics and Political Science,65.4,87.4,74.2,71.3,40.6,70.9,,,0,2015
Ìäcole Polytechnique FÌ©dÌ©rale de Lausanne,54.7,98.8,56.9,95,61.9,70.9,"9,666",10.5,54,2015
University of Edinburgh,58.9,84.3,62.9,88.3,41.2,70.4,"25,774",14.1,36,2015
"University of California, Santa Barbara",49.4,64.3,61.4,99.2,87.1,70,"22,020",27.3,11,2015
New York University,68.3,41.2,62.4,89.5,30.2,69.9,"42,056",6.8,19,2015
McGill University,63.3,79,69.9,76,38.6,69.6,"31,326",13.7,23,2015
King‰Ûªs College London,55.6,87,62.3,88.3,39,69.4,"21,394",11.4,37,2015
"University of California, San Diego",52,37,66.6,96.4,54.2,68.6,"27,233",6.5,11,2015
Washington University in St Louis,57.6,46.5,55.2,97.1,-,67.8,"12,528",5.7,17,2015
University of Hong Kong,62.1,81.9,72.6,65.1,56,67.5,"19,835",17.6,38,2015
Karolinska Institute,57.1,60.6,68,76.8,65.5,66.8,"7,774",11.5,22,2015
Australian National University,53.7,91.3,70.9,71.1,38.9,66.5,"14,604",19.2,35,2015
University of Minnesota,59.9,33.8,64.7,82.9,-,65.9,"46,825",18,13,2015
University of North Carolina at Chapel Hill,57.9,35.3,58.6,91,40.5,65.9,"26,518",7.3,8,2015
Peking University,70,53.7,61.9,63.7,100,65.2,"40,148",8.3,14,2015
Tsinghua University,64.1,44.6,68.3,65,99.7,65.1,"39,763",13.7,10,2015
Seoul National University,75.5,30.3,77.1,48.7,86.3,64.8,"26,389",13.9,10,2015
Hong Kong University of Science and Technology,51.8,77.8,66.8,72.9,57.6,64.7,"11,385",23.8,36,2015
Korea Advanced Institute of Science and Technology (KAIST),63.5,34.9,63.2,71.4,100,64.5,"9,027",10,9,2015
University of Manchester,58.1,82,58.7,74.3,39.4,64.5,"34,938",15.3,34,2015
Brown University,55.5,37,54.2,92,32.7,64.1,"8,653",10.1,19,2015
KU Leuven,53,62.3,63.6,71.8,99.9,63.7,"42,503",41.9,18,2015
"University of California, Davis",54.4,52.9,59.7,80.4,55.4,63.7,"35,364",13.9,13,2015
Boston University,56.4,47.8,46.7,94.4,30.3,63.6,"24,789",8.6,17,2015
Pennsylvania State University,54.6,37.4,64.8,76,60.4,62.9,"44,501",12.4,12,2015
Kyoto University,70.4,29,68.4,57,73.3,62.8,"22,809",5.6,7,2015
University of Sydney,52.8,83.6,60.8,69,67.3,62.7,"41,868",20.2,28,2015
Nanyang Technological University,43.9,92.5,55.9,75.9,100,62.2,"25,028",16.2,33,2015
Ìäcole Polytechnique,50.5,94.5,47.1,79.9,76.8,62.2,"2,429",4.8,30,2015
Scuola Normale Superiore di Pisa,48.2,50.1,46,96.4,40.1,61.9,462,16.5,5,2015
Leiden University,45,59.5,58.2,82.3,47.3,61.3,"21,222",17.1,10,2015
The University of Queensland,45.8,80.4,58.4,74.2,66.2,61.2,"34,718",32.7,27,2015
Pohang University of Science and Technology,52.7,36,49.3,84.4,100,61.1,"3,055",10.1,4,2015
University of GÌ_ttingen,46.9,53.9,48,92.3,32.8,61,"25,581",25.6,12,2015
Ohio State University,54,51.5,51.1,80.4,46.8,60.7,"51,462",13.4,12,2015
Rice University,41.7,70.8,37.1,99.9,34.6,59.8,"6,333",9,26,2015
Heidelberg University,52.6,63.1,45.4,81.4,41.6,59.6,"28,881",24.5,17,2015
Delft University of Technology,55.5,77.9,71.4,42.6,100,59.2,"15,920",19.4,25,2015
Erasmus University Rotterdam,39.8,66.2,53.7,82.3,54.4,59.1,"20,580",18.9,18,2015
Wageningen University and Research Center,44.3,78.7,46.8,77.5,100,59,"9,248",17,21,2015
University of Bristol,43.7,76.6,44.7,85.1,42.1,58.9,"17,906",14,25,2015
University of Basel,41.2,91.2,41.1,81.4,97.7,58.4,"12,551",17.3,24,2015
University of Southern California,55.2,42.7,44.6,81.3,34.4,58.4,"36,534",12.9,20,2015
University of Amsterdam,42,60.5,55.4,76.6,56.7,58.2,"24,570",14.4,11,2015
Ìäcole Normale SupÌ©rieure,48.7,81.9,36.2,84.8,39.4,58.1,"2,400",7.9,20,2015
Utrecht University,38.2,52.9,54.8,80,84.1,58,"30,779",15.4,7,2015
Humboldt University of Berlin,51.9,55.7,52.6,71.9,31.9,57.9,"29,987",52.5,16,2015
Free University of Berlin,49.4,56.6,58,67.6,33.5,57.6,"33,062",39.3,20,2015
Michigan State University,51.1,55,49.4,74,31.7,57.3,"44,750",15.7,15,2015
Durham University,37.2,80.4,40.7,88.9,34.8,56.9,"15,489",15.7,24,2015
Monash University,43.7,79.6,54.4,65.7,73.4,56.9,"50,882",40.5,36,2015
Middle East Technical University,45.5,38.7,36.9,92,55.2,56.6,"25,779",22.2,7,2015
University of Arizona,44.9,38.8,51.4,74,99.6,56.5,"36,429",12.7,8,2015
University of Notre Dame,43.3,51.4,38.5,90,-,56.5,"11,829",13.8,10,2015
Tufts University,43.6,51.1,33.9,92.9,58.7,56.4,"10,410",10,14,2015
"University of California, Irvine",39.5,56.1,41.7,89.5,40,56.4,"26,614",16.1,16,2015
Ghent University,42.5,49.1,51.6,73.8,85.3,56.2,"32,166",34.1,9,2015
University of Massachusetts,44.8,40.3,49.1,78.7,52.8,56.1,"56,959",13,11,2015
University of Pittsburgh,45.2,32.2,46.3,84.4,38.5,56.1,"26,485",5.8,10,2015
Emory University,49,42.9,32.4,89.5,42.3,55.5,"12,338",4.5,18,2015
McMaster University,38.1,69.4,43.2,78.8,85,55.3,"23,823",19.3,15,2015
University of Glasgow,37,78.8,40.5,83.7,39.9,55.3,"22,616",16,29,2015
Vanderbilt University,46,28.3,38.2,87.7,59.4,55.2,"12,161",3.6,10,2015
University of Colorado Boulder,35,39.1,38.3,97.4,-,55.1,"29,325",16.1,8,2015
Stockholm University,30.1,53.2,45,90.9,32.4,54.6,"31,715",23.7,8,2015
Technical University of Munich,45.6,64,37.4,78.8,49,54.6,"35,565",31.5,20,2015
Uppsala University,40.2,57.5,53,70.9,39.6,54.6,"25,266",18.2,12,2015
Maastricht University,32.4,89.7,48.1,70.1,96.1,54.3,"15,626",18.9,48,2015
Purdue University,47.8,64.3,50.5,62.2,-,54,"39,256",18.1,22,2015
Pierre and Marie Curie University,47.3,64.7,30,83.3,33.4,53.9,"27,862",8.7,18,2015
University of Helsinki,37.5,49.7,48.1,79,31.5,53.9,"23,505",15.1,6,2015
University of Warwick,41.1,85.7,45.8,68.2,35.6,53.9,"18,529",16.6,37,2015
University of Zurich,40.2,86.9,33.1,81.4,40.1,53.9,"26,583",6.5,19,2015
Queen Mary University of London,32.4,88.6,32.9,88.9,37.1,53.8,"14,260",14,40,2015
University of Geneva,34.5,96.8,37.2,78.2,65.1,53.8,"15,668",15,39,2015
"University of California, Santa Cruz",30.6,54.6,31.9,100,33.8,53.7,"17,404",22.7,1,2015
University of New South Wales,41.1,83.5,51.9,61.1,47.8,53.7,"38,309",25.9,33,2015
University of St Andrews,35.7,90.5,35.9,81.4,39.8,53.6,"8,338",12.7,47,2015
University of Sussex,31.9,83.6,30.4,92.8,31.2,53.6,"12,001",17.4,35,2015
University of Montreal,43.8,76.7,44.4,62.9,91.8,53.4,"38,264",20.3,25,2015
University of TÌ_bingen,41.5,53,44.7,74,54.7,53.4,"28,327",38.9,12,2015
University of York,32.2,75,33.8,90.5,32.2,53.4,,,0,2015
Case Western Reserve University,46.5,34.4,37.4,82.9,-,53.2,"9,259",6.4,17,2015
University of Groningen,36.9,56.1,50.8,68.1,88.9,53.1,"24,556",25.6,12,2015
"Royal Holloway, University of London",29.1,94.4,22.4,98.9,32.8,53,"8,747",15.9,37,2015
Lund University,32.6,70.1,48.5,74.9,32.6,52.9,"28,251",11.5,15,2015
Paris-Sud University,37.3,62.7,33.1,87.7,28.9,52.8,"27,603",15,17,2015
Technical University of Denmark,39.9,79.7,28.2,79.6,98.6,52.7,"9,990",5,18,2015
University of Rochester,41.9,55.5,29.2,87.7,36.4,52.7,"9,390",4.5,26,2015
University of Sheffield,40,74.8,39.1,74.3,43.8,52.7,"23,311",15.5,31,2015
University of Alberta,43.8,73.4,47.1,61.8,51.8,52.6,"36,299",21.6,23,2015
University of Cape Town,26.8,76.7,35.3,86.6,88,52.6,"20,040",12.1,18,2015
Boston College,32.4,54.6,29.1,95.9,46.5,52.5,"13,216",17.4,19,2015
KTH Royal Institute of Technology,45.7,84,44.8,55.1,100,52.5,"12,062",14.6,21,2015
University of Florida,49.8,32.2,52.1,62.2,-,52.5,"50,095",18.7,9,2015
Chinese University of Hong Kong,43.9,64,53.5,57.8,42.8,52.4,"17,916",10.2,22,2015
University of Virginia,48.7,31.8,35.9,76.9,49.8,52.1,"23,845",10.2,12,2015
Lancaster University,35.4,84.7,36.1,78,34.1,52,"11,512",14.9,33,2015
University of Bern,42,80.7,36.9,70.1,47.4,51.9,"14,708",22.5,14,2015
"University of Maryland, College Park",36.5,44.8,39.1,83.6,33.2,51.9,"31,331",8.4,9,2015
University of Southampton,35.2,82.4,34.1,79.7,38.9,51.9,"20,925",13.5,29,2015
TU Dresden,39.8,44.7,42,70.8,99.5,51.6,"35,487",37.4,12,2015
University of Lausanne,29.4,85.1,39.9,76.5,50.9,51.4,"11,964",13.1,22,2015
VU University Amsterdam,35.5,50.6,43.2,74.9,60,51.4,"23,280",16.3,6,2015
Trinity College Dublin,39.4,83.9,30.3,77.6,30.6,51.2,"15,521",18,25,2015
Bo€ÙaziÌ_i University,28.5,54.1,27.6,96.8,47.7,51.1,"11,506",25,7,2015
Radboud University Nijmegen,30.5,61.6,46.7,73.9,42.8,51,"17,713",13,10,2015
Colorado School of Mines,26.1,52.6,26.7,97.1,79.4,50.9,"5,287",18.2,12,2015
Texas A&M University,46.2,49.1,51.9,55.1,49.6,50.9,"50,657",21.4,9,2015
Tokyo Institute of Technology,53.5,37,52.9,48.1,69.4,50.9,"9,586",7.3,13,2015
Eindhoven University of Technology,38.3,69,47.1,57.3,99.9,50.5,"8,176",16,14,2015
"Rutgers, the State University of New Jersey",40.5,34.3,45.3,71,35.2,50.5,"37,032",17.3,8,2015
University of Leeds,39.4,67.6,39.1,69.3,39.4,50.4,"27,703",14.7,21,2015
Brandeis University,25.8,54.7,29.1,95.3,43.9,50.3,"5,495",12.6,22,2015
Sungkyunkwan University (SKKU),48.1,35.8,50.2,51.7,98.5,50.2,"24,365",20.3,9,2015
University of Birmingham,42.8,75.8,39.8,62.7,36,50.2,"25,295",16.4,23,2015
Indiana University,46.5,37.1,35.1,73.1,-,50.1,"62,468",13.6,13,2015
"University of California, Riverside",29.4,61.6,27.5,91.5,39.5,50.1,"20,626",22,12,2015
Dartmouth College,38.3,33.1,35.4,80.4,49.1,50,"6,178",6.6,16,2015
Aarhus University,30.9,66.3,47.5,66.5,59.8,49.9,"23,895",13.6,14,2015
University of Exeter,32,79.8,32.7,78,35.8,49.7,"17,755",18.8,28,2015
National Taiwan University,48.8,27.5,57.3,47.7,43.8,49.3,"31,891",11.9,7,2015
RWTH Aachen University,39,56.8,29.9,75,69.8,49.2,"37,917",27.6,16,2015
Osaka University,51.3,29.1,48,51.1,73.6,49.1,"23,144",7.8,9,2015
University of Liverpool,31.3,79.5,33.2,76.2,40,49.1,"18,815",13.6,30,2015
University of Western Australia,36.3,87.3,38.1,62.2,63.3,49.1,"20,851",20.7,27,2015
University of Copenhagen,34,71.8,34.4,73.5,44.4,49,"27,545",4.1,19,2015
Ìäcole Normale SupÌ©rieure de Lyon,38.1,64.4,33.8,73,29.3,49,"2,218",8,14,2015
University of Utah,38.8,27.5,36.5,75,58.1,48.6,"25,674",16.9,9,2015
University of Freiburg,38,56.7,28.1,74,81.4,48.3,"26,467",31.2,16,2015
University of Adelaide,33.8,79.3,40.4,61.1,65.3,48.2,"20,771",30.1,26,2015
Istanbul Technical University,30.2,37.3,36.9,79.7,51.1,48.1,"34,550",16,5,2015
Karlsruhe Institute of Technology,40.5,60.1,34.9,62.9,82.7,48.1,"25,294",24.6,16,2015
Pompeu Fabra University,25.1,63.2,28.3,88.3,35.9,48.1,"10,901",18.3,13,2015
Tohoku University,49.7,29.7,47.3,49.6,76.8,48.1,"17,200",5,7,2015
University of Miami,42.7,56.7,27.2,73.1,-,48,"15,286",5.7,14,2015
University of Antwerp,34.6,61,33.6,67.7,100,47.9,"12,346",30.3,16,2015
University of Nottingham,39.9,70.6,35.8,62.7,39.6,47.8,"30,144",15,27,2015
UniversitÌ© Catholique de Louvain,37.9,59.7,34.9,67.7,46.1,47.8,"28,856",42,19,2015
Georgetown University,51.1,43.3,28.2,62.2,80,47.7,"15,408",8.5,14,2015
University of Victoria,21.6,70.1,30.6,86.7,31.6,47.7,"17,581",21.5,11,2015
University of Auckland,28.6,87.3,33.4,68.4,74.2,47.5,"29,787",18.9,28,2015
University of Iowa,41.9,31.7,33.5,71,49.3,47.5,"27,526",11.6,11,2015
Syracuse University,32.4,41.2,24.4,87.1,40.6,47.3,"19,660",15.9,15,2015
Joseph Fourier University,38,57.3,29.3,73,31.3,47.1,"16,130",12.1,13,2015
University of Aberdeen,28,84.1,30.2,74.3,42.1,47.1,"12,938",15.8,33,2015
Paris Diderot University ‰ÛÒ Paris 7,25.6,67.4,19.7,92.2,29.1,47,"27,756",14.8,17,2015
University of Delaware,29,40.6,36.3,73.1,99.3,47,"19,262",15.9,10,2015
Arizona State University,35.7,29.5,37.5,73.1,32.6,46.9,"83,236",29.9,9,2015
Sabanc€± University,26,44.6,27.1,88.5,42.9,46.9,"2,739",15.9,6,2015
University of Vienna,35.2,91,39.7,56.3,29.4,46.9,"34,651",20.5,25,2015
Northeastern University,36.4,54.7,21.9,81.3,34,46.8,"18,539",15.1,26,2015
University of Oslo,36.1,60.3,35.2,66.3,36.6,46.7,"27,139",18.8,18,2015
Yeshiva University,45.2,27.6,23.9,77.8,-,46.7,"6,753",5.5,7,2015
Stony Brook University,32.8,60.5,24.4,80.4,31.3,46.6,"21,908",10.9,24,2015
